Device,Device Type,Vendor,Model,Software Version,EIGRP Enabling,ISIS Enabling,OSPF Enabling,BGP Enabling,MC-LAG Enabling,VXLAN Enabling,NAT Enabling
BUR-R206-Forti200F-1_(Prod-Backup),Fortinet FortiGate Firewall,Fortinet,200F,"FortiGate-200F v7.2.5,build1517,230606 (GA.F)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
BUR-R206-Forti200F-2_(BJ-Internet),Fortinet FortiGate Firewall,Fortinet,,"FortiGate-200F v7.2.5,build1517,230606 (GA.F)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
BUR-R206-Forti200F-2_(Demo-Lab),Fortinet FortiGate Firewall,Fortinet,,"FortiGate-200F v7.2.5,build1517,230606 (GA.F)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
BUR-R206-Forti200F-2_(Prod-Backup),Fortinet FortiGate Firewall,Fortinet,,"FortiGate-200F v7.2.5,build1517,230606 (GA.F)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Baraccuda-FW,Barracuda Firewall,Barracuda,,Barracuda-FW,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Berlin-vEdge,Viptela vEdge,Cisco Viptela,vEdge-Cloud,20.9.3.1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Bos-F5_LB-ASA-SW,Cisco IOS Switch,Cisco,WS-C2960-48TT-L,15.0(2)SE7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bos-askt01-2960-01,Cisco IOS Switch,Cisco,WS-C2960-48TT-L,12.2(25)SEE1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bur-isp-gw1,Cisco Router,Cisco,ASR 1002-X Router,15.4(3)S2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CA-TOR-R2,Cisco Router,Cisco,CGS-MGS-AGS,15.7(3)M2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CA-YVR-R2,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CE1-MX,Juniper Router,Juniper,MX150,14.1R4.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CE4-MX:r1,Juniper Router,Juniper,MX150,14.1R4.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CE4-MX:r4,Juniper Router,Juniper,MX150,14.1R4.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CN-PEK-R1,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CN-PEK-R2,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CP-SW1,Cisco IOS Switch,Cisco,WS-C3750X-48,15.0(2)SE7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CP-SW2,Cisco IOS Switch,Cisco,WS-C3750X-48,12.2(55)SE3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CP-SW3,Cisco IOS Switch,Cisco,WS-C3750-24TS,12.2(55)SE7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CP_GW1,Checkpoint Firewall R80,Checkpoint,Check Point 3200,Linux CP_GW1 2.6.18-92cpx86_64 #1 SMP Tue Jan 29 04:50:27 IST 2019 x86_64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CP_GW2,Checkpoint Firewall R80,Checkpoint,Check Point 3200,Linux CP_GW2 2.6.18-92cpx86_64 #1 SMP Tue Jan 29 04:50:27 IST 2019 x86_64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CP_HA2,Checkpoint Firewall R80,Checkpoint,Check Point 3200,Linux CP_HA2 2.6.18-92cpx86_64 #1 SMP Tue Jan 29 04:50:27 IST 2019 x86_64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CUSTOMER-EXPER-LAB1,Cisco IOS Switch,Cisco,WS-C2960X-48TD-L,15.2(2)E7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIGRP-R13-C3725,Cisco Router,Cisco,3725,12.4(15)T12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIGRP-R3,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
EIGRP-R4,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
EIGRP-R6,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
EIGRP-R7,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIGRP-R8,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EIGRP-R9,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
F5-MGMT,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
GLBP_R12,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GLBP_R13,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GW2Lab,Cisco Router,Cisco,CISCO3945-CHASSIS,15.2(4)M6a,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
